prefecture,area_code,area_name,area_type,yoshinoya_count,sukiya_count,matsuya_count,saizeriya_count,homecenter_count,medical_institution_count,medical_clinic_count,medical_hospital_count,medical_dental_count,source_note
兵庫県,28101,神戸市東灘区,ward,1,2,1,1,6,409,252,7,150,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28102,神戸市灘区,ward,2,1,2,2,2,261,166,8,87,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28105,神戸市兵庫区,ward,2,0,2,1,3,183,117,9,57,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28106,神戸市長田区,ward,2,1,1,1,3,169,100,9,60,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28107,神戸市須磨区,ward,2,3,1,1,1,219,134,9,76,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28108,神戸市垂水区,ward,2,3,3,3,4,295,184,6,105,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28109,神戸市北区,ward,0,2,4,1,8,274,160,20,94,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28110,神戸市中央区,ward,4,4,7,6,1,552,358,24,170,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28111,神戸市西区,ward,3,4,6,2,6,293,188,17,88,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28201,姫路市,city,6,7,6,6,17,742,424,34,284,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28202,尼崎市,city,5,7,12,5,8,754,494,23,237,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28203,明石市,city,5,5,2,3,6,425,251,21,153,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28204,西宮市,city,6,4,8,3,6,847,552,25,270,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28205,洲本市,city,0,1,0,0,1,82,54,3,25,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28206,芦屋市,city,0,0,0,1,1,238,153,3,82,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28207,伊丹市,city,2,3,1,3,5,310,187,10,113,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28208,相生市,city,0,1,0,0,1,38,20,4,14,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28209,豊岡市,city,1,1,0,0,8,95,68,2,25,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
兵庫県,28210,加古川市,city,3,3,5,2,11,310,182,13,115,sukiya=公式店舗検索PDF(兵庫県73件)から市区町村別集計済み。medical=兵庫県 令和6年医療施設調査 統計表3（病院+一般診療所+歯科診療所、薬局除外）。
